BLUE_X,BLUE_Y,FPS,RED_X,RED_Y
284,225,16.8,458,213
282,225,16.8,456,213
280,226,16.8,454,213
280,227,16.8,454,213
280,228,16.8,454,214
279,229,16.9,453,214
278,231,16.9,452,215
278,234,16.9,453,216
279,235,16.9,454,218
279,236,16.9,454,218
278,236,16.9,453,218
278,236,16.9,453,218
278,236,16.9,453,218
278,235,16.9,453,217
277,235,16.9,453,217
278,235,16.9,454,217
280,235,16.9,454,216
280,234,16.9,455,216
279,235,16.9,454,218
278,234,16.9,453,217
277,234,16.9,452,217
276,234,16.9,451,216
277,234,16.5,451,216
276,233,16.5,451,216
276,233,16.5,451,216
278,231,16.5,452,216
278,230,16.5,453,216
279,227,16.5,454,216
280,225,16.5,455,216
281,223,16.5,456,217
280,225,16.5,454,219
278,228,16.5,452,221
278,227,16.5,451,222
279,227,16.5,452,222
280,225,16.5,453,222
279,224,16.5,453,222
279,224,16.5,452,222
279,223,16.5,452,222
279,222,16.9,452,222
279,222,16.9,452,222
279,221,16.9,452,222
279,222,16.9,452,222
280,222,16.9,453,223
281,224,16.9,454,224
283,225,16.9,456,226
283,227,16.9,457,227
284,228,16.9,457,228
285,230,16.9,458,231
287,232,16.9,460,233
289,234,16.9,463,236
290,236,16.9,464,238
290,238,16.9,464,239
291,241,16.9,465,242
292,244,16.9,466,244
293,246,16.9,467,247
294,249,16.5,468,248
295,251,16.5,469,248
294,252,16.5,469,248
294,254,16.5,469,248
295,256,16.5,470,249
296,256,16.5,470,248
296,258,16.5,471,249
297,260,16.5,471,249
296,262,16.5,471,249
296,262,16.5,470,248
296,262,16.5,471,247
296,262,16.5,471,247
296,263,16.5,471,246
296,263,16.5,471,245
296,263,16.5,471,245
297,263,16.5,471,245
297,262,16.5,472,246
298,263,16.7,473,247
298,262,16.7,473,247
298,261,16.7,473,247
298,261,16.7,474,247
299,260,16.7,475,248
300,258,16.7,476,249
300,258,16.7,476,249
300,258,16.7,476,250
300,258,16.7,476,251
301,257,16.7,477,251
301,257,16.7,477,252
301,257,16.7,477,253
300,258,16.7,476,254
300,257,16.7,476,254
299,257,16.7,476,255
298,258,16.7,475,255
297,259,16.7,474,256
297,258,16.6,473,254
296,258,16.6,473,254
296,258,16.6,472,254
295,257,16.6,472,254
295,256,16.6,472,254
295,255,16.6,472,253
295,255,16.6,472,254
294,255,16.6,470,254
293,255,16.6,470,254
293,254,16.6,470,254
293,255,16.6,470,254
293,255,16.6,470,254
293,255,16.6,470,254
293,255,16.6,470,254
292,255,16.6,470,254
293,255,16.6,470,254
293,255,15.8,470,254
294,256,15.8,470,254
295,258,15.8,470,256
296,262,15.8,472,259
298,266,15.8,474,261
299,269,15.8,475,262
300,272,15.8,476,262
300,273,15.8,476,262
300,275,15.8,475,262
301,277,15.8,476,262
301,279,15.8,476,262
301,279,15.8,476,262
302,279,15.8,476,262
300,280,15.8,475,261
301,281,15.8,475,261
302,280,15.8,476,259
303,277,16.4,477,257
304,274,16.4,478,256
302,273,16.4,477,255
301,272,16.4,476,255
299,271,16.4,475,255
297,270,16.4,473,255
296,267,16.4,471,255
293,266,16.4,469,256
290,266,16.4,467,257
288,266,16.4,465,257
287,265,16.4,463,257
285,265,16.4,462,258
286,265,16.4,463,259
287,265,16.4,464,259
288,265,16.4,465,260
288,265,16.4,465,260
289,265,16.5,466,260
290,266,16.5,467,260
292,267,16.5,469,261
293,269,16.5,471,262
295,271,16.5,472,263
297,273,16.5,474,264
299,276,16.5,475,266
299,280,16.5,476,269
300,283,16.5,478,272
301,287,16.5,479,275
303,292,16.5,480,280
304,295,16.5,482,284
306,295,16.5,484,285
307,295,16.5,486,284
309,292,16.5,487,283
310,291,16.5,488,283
311,289,16.5,489,283
311,288,16.4,488,282
310,285,16.4,488,280
309,282,16.4,487,277
308,277,16.4,486,275
307,272,16.4,484,271
305,268,16.4,482,268
302,265,16.4,480,268
300,263,16.4,478,267
297,263,16.4,474,267
293,265,16.4,471,267
290,265,16.4,468,267
288,264,16.4,465,265
286,263,16.4,463,264
284,262,16.4,462,263
283,261,16.4,460,261
282,261,16.4,460,261
281,262,16.4,459,261
280,262,16.5,458,262
278,262,16.5,456,263
277,262,16.5,456,263
278,261,16.5,456,263
278,261,16.5,456,263
277,261,16.5,455,265
276,262,16.5,454,268
277,264,16.5,455,270
277,265,16.5,455,273
277,266,16.5,455,275
278,265,16.5,456,274
279,263,16.5,458,272
283,261,16.5,460,268
288,261,16.5,463,264
293,258,16.5,468,262
296,256,16.5,471,260
298,256,16.7,472,261
298,260,16.7,472,263
298,262,16.7,473,263
301,263,16.7,475,263
304,264,16.7,479,264
308,266,16.7,482,265
311,268,16.7,485,266
314,271,16.7,488,266
315,271,16.7,490,266
316,271,16.7,491,266
317,271,16.7,492,266
318,271,16.7,493,266
319,272,16.7,493,266
319,272,16.7,494,266
320,273,16.7,494,267
319,273,16.7,493,267
318,273,16.7,493,268
318,273,16.4,493,268
318,273,16.4,493,269
317,273,16.4,492,271
316,274,16.4,491,271
314,274,16.4,490,270
314,274,16.4,489,269
