BLUE_X,BLUE_Y,FPS,RED_X,RED_Y
221,344,16.3,400,329
221,344,16.3,400,329
221,344,16.3,400,328
221,345,16.3,399,329
220,345,16.3,399,328
219,343,16.3,397,328
217,341,16.3,395,327
214,338,16.3,393,324
213,337,16.3,390,322
211,336,16.3,388,321
209,336,16.3,387,320
208,334,16.3,385,319
207,335,16.3,384,319
205,333,16.3,382,319
204,333,16.3,381,319
205,333,16.3,381,319
205,333,16.3,382,320
206,332,16.9,382,319
207,329,16.9,382,317
207,328,16.9,382,316
207,327,16.9,382,316
208,326,16.9,383,315
210,324,16.9,384,315
214,323,16.9,387,313
217,321,16.9,390,309
219,319,16.9,392,307
220,317,16.9,394,303
222,315,16.9,395,300
223,313,16.9,398,297
226,312,16.9,400,294
228,311,16.9,402,292
231,311,16.9,405,291
233,312,16.9,407,291
234,312,16.9,408,290
235,312,16.8,409,288
234,311,16.8,409,288
235,311,16.8,409,288
235,311,16.8,410,287
236,312,16.8,411,286
236,312,16.8,411,286
236,312,16.8,411,286
236,312,16.8,411,286
235,312,16.8,410,285
234,313,16.8,409,285
233,313,16.8,408,284
232,313,16.8,407,284
230,312,16.8,405,284
227,311,16.8,402,283
225,311,16.8,400,282
224,309,16.8,399,281
223,307,16.8,398,281
220,306,16.8,397,280
219,305,16.8,396,281
218,304,16.8,395,282
218,305,16.8,395,283
218,304,16.8,395,284
217,304,16.8,394,285
215,304,16.8,393,286
213,304,16.8,391,289
211,305,16.8,389,292
210,306,16.8,389,295
210,306,16.8,389,297
210,307,16.8,388,300
210,306,16.8,388,301
212,303,16.8,389,302
213,301,16.8,390,304
215,302,16.8,392,307
217,301,16.8,394,309
219,300,16.8,395,310
219,301,16.8,396,310
219,301,16.8,396,310
220,300,16.8,396,311
220,301,16.8,396,311
220,301,16.8,396,311
219,300,16.8,395,311
219,300,16.8,396,311
220,300,16.8,396,311
220,300,16.8,396,311
220,300,16.8,396,311
220,300,16.8,396,312
220,300,16.8,396,312
220,300,16.8,396,312
220,300,16.8,396,312
220,300,16.8,396,312
220,300,16.8,396,312
220,300,16.8,396,312
220,300,16.8,396,312
220,300,16.8,396,312
220,300,16.8,396,312
220,300,16.8,396,312
220,300,16.8,396,312
220,300,16.8,396,312
219,301,16.8,396,312
220,300,16.8,396,312
220,300,16.8,396,312
220,300,16.8,396,312
220,300,16.8,396,312
220,300,16.8,396,312
220,300,16.8,396,312
220,300,16.8,396,312
220,300,16.8,396,312
220,300,16.8,396,312
219,301,16.8,396,312
220,300,16.8,396,312
220,300,16.8,396,312
220,300,16.8,396,312
220,300,16.8,396,312
219,300,16.8,396,312
220,300,16.8,396,312
220,300,16.8,396,312
220,300,16.8,396,312
220,300,16.8,396,312
220,300,16.8,396,312
220,300,16.8,396,312
220,300,16.8,396,312
220,300,16.8,396,312
220,300,15.8,396,312
219,300,15.8,396,312
220,300,15.8,396,312
219,300,15.8,396,312
219,300,15.8,396,312
219,300,15.8,395,312
219,300,15.8,395,312
219,300,15.8,395,312
219,300,15.8,396,312
220,300,15.8,396,312
220,299,15.8,396,312
219,300,15.8,395,312
220,300,15.8,395,312
220,300,15.8,395,312
220,299,15.8,395,312
219,300,15.8,395,312
219,300,15.8,395,313
219,299,16.4,395,312
219,300,16.4,395,313
219,300,16.4,395,313
219,300,16.4,395,313
220,299,16.4,395,313
220,299,16.4,395,313
220,299,16.4,395,313
220,299,16.4,395,313
220,299,16.4,395,313
220,299,16.4,395,313
220,299,16.4,395,313
220,300,16.4,395,313
220,299,16.4,395,313
219,300,16.4,395,313
