121, 584, 579, 5.00, 261, 265, -4.00, 200.00, -160.00, 0.12, -0.10
122, 584, 581, 3.00, 257, 261, -4.00, 120.00, -160.00, 0.08, -0.10
123, 583, 579, 4.00, 253, 258, -4.00, 160.00, -160.00, 0.10, -0.10
124, 582, 582, 0.00, 249, 255, -6.00, 0.00, -240.00, 0.00, -0.15
125, 580, 579, 1.00, 246, 251, -5.00, 40.00, -200.00, 0.03, -0.12
126, 578, 537, 40.00, 243, 236, 7.00, 1600.00, 280.00, 1.00, 0.17
127, 578, 592, -14.00, 243, 246, -3.00, 1040.00, 160.00, -1.35, -0.25
128, 578, 554, 23.00, 243, 235, 8.00, 1960.00, 480.00, 0.93, 0.27
129, 578, 600, -22.00, 243, 247, -4.00, 1080.00, 320.00, -1.12, -0.30
130, 578, 599, -21.00, 243, 247, -3.00, 240.00, 200.00, 0.03, 0.03
131, 578, 585, -7.00, 243, 246, -3.00, -40.00, 80.00, 0.35, 0.00
132, 576, 538, 38.00, 240, 234, 6.00, 1520.00, 240.00, 0.95, 0.15
133, 576, 589, -13.00, 240, 244, -4.00, 1000.00, 80.00, -1.27, -0.25
134, 576, 548, 27.00, 240, 232, 8.00, 2080.00, 400.00, 1.00, 0.30
135, 576, 599, -23.00, 240, 243, -3.00, 1160.00, 280.00, -1.25, -0.27
136, 576, 561, 20.00, 240, 244, -3.00, 1960.00, 160.00, 1.08, 0.00
137, 576, 599, -23.00, 240, 243, -3.00, 1040.00, 40.00, -1.08, 0.00
138, 576, 595, -15.00, 240, 244, -4.00, 440.00, -120.00, 0.20, -0.03
139, 576, 588, -13.00, 240, 243, -3.00, -80.00, -240.00, 0.05, 0.03
140, 576, 581, -4.00, 240, 243, -3.00, -240.00, -360.00, 0.22, 0.00
141, 573, 575, -2.00, 238, 240, -2.00, -80.00, -80.00, -0.05, -0.05
142, 570, 572, -2.00, 236, 238, -2.00, -80.00, -80.00, -0.05, -0.05
143, 567, 568, -1.00, 235, 236, -1.00, -40.00, -40.00, -0.03, -0.03
144, 564, 564, 0.00, 234, 235, -1.00, 0.00, -40.00, 0.00, -0.03
145, 560, 561, -1.00, 234, 234, 0.00, -40.00, 0.00, -0.03, 0.00
146, 556, 516, 40.00, 234, 223, 11.00, 1600.00, 440.00, 1.00, 0.27
147, 556, 564, -8.00, 234, 233, 1.00, 1280.00, 480.00, -1.20, -0.25
148, 553, 525, 29.00, 234, 223, 11.00, 1160.00, 440.00, 0.73, 0.27
149, 553, 565, -12.00, 234, 233, 1.00, 680.00, 480.00, -1.02, -0.25
150, 553, 516, 37.00, 234, 224, 10.00, 2160.00, 880.00, 1.23, 0.22
151, 553, 566, -12.00, 234, 233, 1.00, 1680.00, 920.00, -1.23, -0.22
