BLUE_X,BLUE_Y,FPS,RED_X,RED_Y
16.8,311,283,460,189
16.8,311,283,460,189
16.8,311,283,460,189
16.8,310,284,460,189
16.8,311,284,460,189
16.9,309,281,461,189
16.9,308,278,461,189
16.9,306,276,460,189
16.9,303,275,457,190
16.9,299,275,454,191
16.9,296,275,451,192
16.9,293,276,448,192
16.9,291,278,444,193
16.9,287,279,441,193
16.9,285,281,439,194
16.9,285,280,440,194
16.9,285,281,440,195
16.9,285,281,439,196
16.9,285,283,440,197
16.9,284,283,440,198
16.9,285,285,441,200
16.9,286,285,442,200
16.5,286,285,442,200
16.5,285,285,441,200
16.5,285,285,441,201
16.5,285,285,442,202
16.5,286,285,443,202
16.5,286,284,444,202
16.5,286,284,444,202
16.5,285,284,444,202
16.5,285,282,444,201
16.5,286,279,445,199
16.5,286,277,446,196
16.5,288,275,446,192
16.5,289,273,447,188
16.5,291,270,449,184
16.5,294,268,451,182
16.5,297,267,454,181
16.5,298,266,455,180
16.8,299,267,455,179
16.8,301,267,456,179
16.8,302,268,457,178
16.8,303,270,456,178
16.8,302,271,456,179
16.8,302,273,456,179
16.8,302,273,456,180
16.8,303,274,455,180
16.8,302,275,455,180
16.8,302,276,454,180
16.8,303,277,454,181
16.8,302,278,454,182
16.8,302,279,454,182
16.8,302,279,453,183
16.8,302,280,452,183
16.8,303,281,453,184
16.8,305,283,455,185
16.6,307,283,457,187
16.6,308,284,458,187
16.6,308,283,458,186
16.6,307,282,456,185
16.6,306,278,455,183
16.6,305,275,455,181
16.6,306,276,455,182
16.6,305,275,455,183
16.6,304,274,454,183
16.6,304,273,455,183
16.6,304,272,455,182
16.6,303,271,455,182
16.6,301,270,454,182
16.6,300,269,453,183
16.6,299,270,452,183
16.6,298,270,452,184
16.4,297,270,451,185
16.4,295,270,450,185
16.4,295,270,450,185
16.4,294,269,449,186
16.4,293,270,448,187
16.4,292,271,447,187
16.4,292,272,447,187
16.4,291,273,446,188
16.4,292,274,446,189
16.4,293,276,446,190
16.4,293,278,446,191
16.4,292,280,446,193
16.4,291,283,444,194
16.4,290,284,442,196
16.4,288,286,440,197
16.4,286,288,437,198
16.4,285,290,436,199
16.7,285,291,436,199
16.7,285,291,436,200
16.7,285,291,436,200
16.7,286,292,436,200
16.7,286,293,437,201
16.7,286,293,437,201
16.7,287,293,438,202
16.7,287,294,438,202
16.7,288,294,439,201
16.7,289,294,440,201
16.7,290,293,441,201
16.7,291,293,442,199
16.7,292,293,443,199
16.7,293,293,444,198
16.7,294,293,444,198
16.7,296,294,446,198
16.5,297,295,446,197
16.5,298,296,446,197
16.5,299,295,446,195
16.5,300,293,447,193
16.5,302,292,449,191
16.5,303,289,450,189
16.5,304,287,452,187
16.5,305,284,453,183
16.5,307,282,455,181
16.5,308,279,456,179
16.5,309,278,457,177
16.5,311,276,458,175
16.5,312,275,460,173
16.5,313,273,460,172
16.5,312,273,459,171
16.5,312,272,459,170
16.5,312,270,459,168
16.7,312,268,459,166
16.7,311,267,458,165
16.7,312,267,458,164
16.7,311,265,457,161
16.7,312,266,457,161
16.7,311,262,457,161
16.7,311,263,457,161
16.7,311,262,457,161
16.7,311,264,457,161
16.7,310,258,457,161
16.7,311,263,457,161
16.7,311,262,457,161
16.7,311,263,457,161
16.7,312,259,456,161
16.7,311,261,457,161
16.7,310,262,457,161
16.2,311,260,457,161
16.2,312,260,457,161
16.2,311,259,457,161
16.2,311,262,457,161
16.2,311,263,457,161
16.2,310,263,456,160
16.2,310,259,456,161
16.2,311,262,456,160
16.2,312,255,456,160
16.2,311,259,456,160
16.2,310,263,457,161
16.2,311,262,456,160
16.2,311,259,456,160
16.2,311,263,456,161
16.2,311,261,456,161
16.2,311,260,456,160
16.5,312,262,456,160
16.5,310,260,456,160
16.5,311,262,456,160
16.5,311,261,456,160
16.5,310,259,456,160
16.5,312,254,456,160
16.5,312,259,456,160
16.5,312,257,456,161
16.5,310,263,456,160
16.5,311,253,456,161
16.5,311,263,456,160
16.5,311,261,456,160
16.5,313,254,456,161
16.5,314,259,456,160
16.5,313,264,456,161
16.5,313,265,456,161
16.5,313,264,456,161
16.5,313,264,456,161
16.5,313,265,456,161
16.5,313,265,456,161
16.5,313,265,456,161
16.5,313,265,456,161
16.5,313,265,456,161
16.5,313,264,456,161
16.5,313,265,456,161
16.5,312,265,456,161
16.5,313,265,456,160
16.5,313,265,456,160
16.5,313,265,455,161
16.5,313,265,455,160
16.5,313,264,455,159
16.8,314,264,455,159
16.8,314,264,455,160
16.8,314,264,455,159
16.8,314,264,455,159
16.8,314,264,455,160
16.8,314,264,455,159
16.8,314,264,455,159
16.8,314,265,455,159
16.8,314,264,455,159
16.8,314,264,455,159
